"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
7,1,-77.8428,166.7271,1996,16.403,35.544,-0.818,0,39.053,0.33,180.635,12.23,17.97,8.84,131.74,90.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,479.2,-38.9368,-68.3556,1997,1097.993002,468.79,525.913,8.955,68.204,-0.21,701.217,395.84,384.28,562.38,858.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,192,-38.9368,-68.3556,1994,241.557,204.361001,70.266,477.206004,291.459,435.182,573.875,963.95,983.74,1121.1,871.73,1075.39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,130,-34.5792,-68.9892,1982,23.007,33.385,0,42.516,0,0.112,468.885,288.58,330.11,413.29,415.17,289.92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,25,-34.8386,-58.4033,2012,1374.962973,2042.34,4234.637032,3224.474,2259.865,2754.11025,3251.099993,7.17,114.44,223.39,23.93,113.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,97.5,-38.9524,-68.0218,1969,446.60481,574.438,401.536,310.096,245.5591667,277.537,157.221,443.88,430.12,709.59,343.24,546.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1.904,-39.2145,-70.9157,1995,0.018,203.58457,40.597,86.32,47.921,1.609,162.841,2.76,25.88,157.87,11.14,8.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,50.7,-33.0452,-69.0516,2003,25.528,36.848,0.187,31.261,0.211,16.925,243.59,141.57,150.75,188.01,190.95,163.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,128,-39.1009,-68.5982,1977,3066.624978,3594.781031,3518.645,3499.411,2715.175,2758.601977,2366.866029,413.34,406.43,496.11,479.69,413.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,370,-33.967,-59.2059,1974,0,2738.999003,3502.11,2897.406,2205.11,2549.71,4010.581003,919.38,1235.68,1575.89,1349.99,1303.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,745,-33.9674,-59.2045,2014,0,191.771,497.693,324.443,-147.606,-2.002,2185.549,3433.33,3086.76,2685.8,2906.75,2625.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,31,-23.8219,-64.7847,1994,9.698,502.4580556,411.089998,696.80845,900.116,628.13,512.3,72.75,147.55,256.45,84.55,140.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5.736,-41.1167,-71.4167,2000,250.722,167.7727778,249.711,414.4573,442.501,445.383,311.7,1.54,7.61,157.03,18.1,25.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2.096,-26.2545,-53.6469,1973,68.893,223.914,114.519,96.898,53.316,4.934,2.758,13.65,1.87,103.53,3.63,9.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,31.9,-34.2605,-62.7107,2017,2.79,132.721,0,120.327,32.579,12.377,158.608,74.19,90.04,258.01,9.4,144.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,27.6,-35.0241,-58.4237,1970,577.6252778,2295.855,1758.58,1655.060966,-5.627,621.206,205.402,35.74,108.88,257.75,2.03,125.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1.415,-27.7534,-57.6205,2007,0,158.538,17.354,107.993,52.472,11.806,46.59,79.25,20.4,79.48,5.16,6.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,102,-25.2712,-65.3298,1978,5.789,202.987,0,208.9768,159.562,152.963,290.089,380.17,337.42,416.66,431.73,409.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,120,-33.0291,-69.1109,2002,36.805,10.412,0.153,69.985,27.82638889,23.077,348.39,297.51,314.76,416.3,408.8,341.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1.07,-25.1089,-66.2106,2007,10.265,371.275,0,45,29.481,0.271,7.672,5.36,10.88,137.33,8.74,4.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,4.182,-26.0715,-65.9876,2007,0,109.387,0,180.18,21.492,0.325,1.977,9.08,21.52,133.53,3.8,18.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5.728,-28.4537,-65.7841,2011,11.529,63.734,5.297,82.69371,0.403,1.249,182.637,15.24,30.25,219.03,10.24,25.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,7.075,-28.4773,-65.7872,2010,31.324,48.069,1.521,64.864,18.638,16.094,0.154,4.21,9.25,130.32,6.46,32.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
