country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
ARG,1.4,-27.4708,-58.8042,Oil,2013,-0.66,46.726,65.878,35.4,17.638,0.80289,101.801,31.72,8.58,145.12,16.43,6.34
ARG,1982.2,-34.626,-58.3393,Coal,1984,6362.81004,3834.528,4663.18,3312,5924.063889,6617.25395,6951.6,10811.36,10229.49,10801.55,8472.46,10273.7
ARG,17.94,-33.0349,-68.7971,Gas,1969,464.43,485,666.425,324.443,0,311.203,208.256,37.47,86.24,232.92,17.76,100.48
ARG,5.052,-30.7636,-64.7538,Oil,1943,202.824,116.631,0,13.368,13.661,0,-0.038,36.67,1.75,157.44,30.61,22.88
ARG,26,-32.1613,-64.1537,Gas,2017,0.126,153.19,418.801,357.842007,-5.695,43.237,6.728,75.26,131.32,246.88,63.84,145.62
ARG,15,-43.0907,-65.2298,Oil,1955,56.631,40.807,0.02,23.37455,46.339,67.75,4.079,3.91,14.38,90.63,4.66,67.95
ARG,6.3,-38.8706,-70.5753,Oil,2007,33.306,152.4,64.652,62.01835,177.226,0,136.692,4.1,36.06,100.47,30.13,28.54
ARG,15,-27.0922,-54.8625,Oil,2018,38.38555556,94.42,2.139,93.614,126.32102,38.876,157.783,81.43,16.32,86.88,1.74,67.95
ARG,20,-34.0414,-60.1297,Oil,2008,13.429,63.382,0.066,48.58,64.222,11.382,128.224,70.16,57.48,200.74,28.59,90.61
ARG,19.2,-28.4431,-62.8569,Oil,2000,1.925,74.154,0.001,51.398,42.281,9.027,13.331,62.77,22.51,145.69,30.71,86.98
ARG,11.5,-28.4431,-62.8569,Oil,2007,16.651,153.19,30.82083333,103.775,126.47367,61.046,218.505,33.66,31.03,188.49,4.13,52.1
ARG,20,-41.1497,-71.2633,Oil,2000,20.622,111.798,0.12,105.8,42.817,0.204,77.398,44.97,53.99,160.22,34.81,90.61
ARG,15.62,-32.6103,-62.6864,Oil,2015,0,41.99,40.23,175.5379,391.362,0,110.115,86.26,55.25,156.5,72.01,70.76
ARG,49.8,-35.1364,-60.4311,Gas,2001,0,52.155,4.803,96.915,5.374,0,45.697,64.76,519.01,347.62,32.26,278.93
ARG,5,-34.1636,-59.7683,Oil,2008,31.877,304.5455556,132.025,103.24,93.507,0,35.925,3.26,20.96,114.83,4.1,22.65
ARG,19.2,-28.4706,-65.7647,Oil,2010,18.658,38.371,0,43.646,39.041,4.429,105.383002,3.95,34.73,190.04,50.48,86.98
ARG,5,-38.0528,-70.6136,Oil,2015,3.885,302.23125,82.824,102.709,7.716,16.975,7.28,59.15,40.96,185.45,23.4,22.65
ARG,18,-29.8883,-61.9297,Oil,2010,2.83239,65.089,56.60555,157.038,67.25,-2.468,157.053,21.33,48.43,162.56,2.48,81.55
ARG,19.4,-27.2369,-61.1939,Oil,1998,145.522,484.3258333,227.249,280.696,120.047,0,59.185,34.91,52.18,133.1,3.68,87.89
ARG,10,-29.1581,-67.5072,Oil,1992,3.635,408.639,388.554,333.18,333.816,275.317,221.804,14.12,7.9,233.97,4.23,45.3
ARG,5,-38.9133,-67.9414,Oil,1992,1837.607952,3673.823991,4372.561014,3703.8,2347.362,2084.949,1379.277035,2.04,1.67,164.92,70.28,22.65
ARG,15.3,-33.9222,-61.0769,Oil,2000,19.991,346.579,287.844,273.121,266.4047222,88.54505,332.21724,6.65,71.89,160.94,7.51,69.31
ARG,41.78,-32.4767,-58.2672,Gas,2002,0.01274,4.087,11.183,254.2,183.56755,64.5575,310.381,133.06,178.67,335.73,130.2,234.01
ARG,20,-27.4708,-58.8042,Oil,2002,12.196,103.106,2.886,0,9.043,0,272.457005,2.61,47.02,196.01,5.58,90.61
ARG,13.2,-38.6871,-62.3961,Coal,2013,0,170.105997,105.077,23.067,1.271,-171.036,1.123,13.11,75.75,90.63,5.89,68.41
ARG,567,-34.8597,-57.9557,Gas,1998,964.626,726.789,693.874313,960.759,928.862008,1613.666,1873.295993,1804.07,2575.98,2726.58,2376.53,3175.77
ARG,16.5,-30.055,-59.5294,Oil,1992,8.316,101.308,81.464,109.193,166.258,14.143,122.915,38.64,43.75,144.35,2.2,74.75
ARG,30,-26.1764,-58.2094,Oil,1993,10.235,98.741,2.017,22.133,24.017,5.756,316.292001,26.44,105.23,300.1,24.97,135.91
ARG,23.49,-35.0347,-62.9981,Oil,2004,1357.874007,2738.999003,2621.364,1199.935,643.526998,1090.414,653.254,62.35,98.92,279.28,115.78,106.42
ARG,13,-29.1583,-59.2728,Oil,2009,348.038,757.385,791.058,565.513,505.6789,480.839,451.28737,14.08,74.94,217.93,7.59,58.89
ARG,120,-26.8666,-65.2247,Gas,1995,0,20.306,42.506,84.592,32.973,97.3,338.754,304.62,622.22,705.76,278.62,672.12
ARG,4,-23.9078,-61.8342,Oil,2006,9.964,177.343,53.291,1.202777778,8.329,11.32,0.264,11.56,1.95,218.87,5.36,18.12
ARG,7.04,-28.4733,-65.7275,Oil,1999,810.5,723.554,300.298002,112.143,169.51,57.22,9.396,85.04,69.26,147.2,8.59,31.89
ARG,24.5,-33.2425,-62.395,Oil,2004,156.8169444,437.981,401.008004,752.411,840.92,569.1997,519.524,51.08,82.23,197.36,27.89,111
ARG,15,-25.9564,-60.6204,Oil,2005,0,99.639,4.803,56,42.038,3.284,94.948,72.38,64.57,149.52,2.75,67.95
