country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
ARG,745,-33.9674,-59.2045,Nuclear,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625.45
ARG,31,-23.8219,-64.7847,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.45
ARG,5.736,-41.1167,-71.4167,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.98
ARG,38.4,-32.1883,-64.3233,Hydro,1966,NA,NA,NA,NA,NA,NA,NA,90.12,102.5,118.19,123.62,104.67
ARG,2.096,-26.2545,-53.6469,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49
ARG,31.9,-34.2605,-62.7107,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.52
ARG,27.6,-35.0241,-58.4237,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.04
ARG,1.415,-27.7534,-57.6205,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41
ARG,102,-25.2712,-65.3298,Hydro,1978,NA,NA,NA,NA,NA,NA,NA,380.17,337.42,416.66,431.73,409.06
ARG,120,-33.0291,-69.1109,Hydro,2002,NA,NA,NA,NA,NA,NA,NA,297.51,314.76,416.3,408.8,341.24
ARG,1.07,-25.1089,-66.2106,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84
ARG,4.182,-26.0715,-65.9876,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.94
ARG,5.728,-28.4537,-65.7841,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.95
ARG,7.075,-28.4773,-65.7872,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.05
ARG,4.675,-28.4684,-65.7797,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.18
ARG,60,-38.2143,-67.1908,Hydro,1996,NA,NA,NA,NA,NA,NA,NA,195.69,200.87,228.48,222,206.48
ARG,17.28,-31.3992,-64.2006,Hydro,1953,NA,NA,NA,NA,NA,NA,NA,45.68,41.26,51.23,48.3,43.63
ARG,620,-38.7872,-62.2536,Coal,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3213.44
ARG,540,-38.5127,-68.6048,Gas,1999.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3024.54
ARG,11.228,-38.062,-67.9463,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.87
ARG,673.6,-34.9027,-58.7334,Gas,1997.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3772.84
